unique_id,f_name_english,f_name_arabic,facility_category_name_english,facility_category_name_arabic,facilitysubcategorynameenglish,facilitysubcategorynamearabic,address_line_one,address_line_two_english,address_line_two_arabic,po_box,website,telephone_1,telephone_2,fax,expiry_date,status,area_id,x_coordinate,y_coordinate,email,area_english,area_arabic
81,The Childrens Medical Centre,مركز الاطفال الطبي,Pediatrics,طب الأطفال,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Villa 1064,Al Wasl Road 1066,Al Wasl,,,971-0553798575,,,1/6/2021,FAC_ACT,112,25.15339262,55.21476489,annelien@tcmcdubai.com,Al Wasl,Al Wasl
84,Gems Winchester Shcool(Br Of Premier Shools International L.L.C),مدرسة جيمس وينشستر (فرع من بريمير سكولز انترناشيونال ش.ذ.م.م),Nursing,التمريض,School clini,عيادة مدرسة,Gems Winchester School,19d Street 19,Oudh Metha,,gemswinchesterschool-dubai.com,971-50-2369860,,,10/4/2020,FAC_ACT,43,25.23493823,55.31568526,info_wsd@gemsedu.com,Oudh Metha,Oudh Metha
103,Gorgeous Smile Dental Center LLC,مركز جورجيوس سمايل لطب السنان ش.ذ.م.م,Orthodontics,تقويم أسنان,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Arenco Towers,Almarsad St,Al Sufouh - 1,,,971-50-4848711,,,10/8/2020,FAC_ACT,131,25.09147956,55.15858398,audayortho1973@gmail.com,Al Sufouh - 1,Al Sufouh - 1
107,Fakih Ivf LLC,مركز دكتور فقيه للخصوبة ش.ذ.م.م,Reproductive Medicine and Infertility,طب الأمراض التناسلية والعقم,Fertility Center,مركز للإخصاب,Fakih Ivf,"Al Wasl Road, Street 65B - 32B  Villa 37",Al Bada,,,971-050-2111623,,,2/4/2021,FAC_ACT,107,25.170577,55.150404,,Al Bada,Al Bada
120,Amwaj Polyclinic LLC,مجمع امواج الطبي ش.ذ.م.م,Plastic Surgery,الجراحة التجميلية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Amwaj 2,King Salman bin Abdulaziz Al Saud Street,Dubai Marina and Jumeira Beach,,,050-227-2877,,,2/7/2021,FAC_ACT,139,25.07417773,55.13170509,operations@amwajpolyclinic.com,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
126,The Indian International School(Dso Branch),المدرسة الهندية الدولية (فرع واحة دبي للسيليكون),General Practice,طب عام,School clinic,عيادة مدرسة,School Bldg,DSO ,AL Ruwayyah-1,,,971-050-2057076,,,6/26/2020,FAC_ACT_AEX,245,25.11474612,55.37489407,proihs@yahoo.com,AL Ruwayyah-1,AL Ruwayyah-1
128,Allo Doctors French Medical Services,الو دكتورز- فرينش ميديكال سيرفيسز,Family Medicine,طب الأسرة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Fortune Executive Tower,Cluster T,Jumeira Lakes Towers,,,00-971-553804196,,,2/5/2021,FAC_ACT,140,25.170577,55.150404,,Jumeira Lakes Towers,Jumeira Lakes Towers
134,Kassla Optics(Branch),كسلا للنظارات (فرع),Optometry,بصريات,Optical Center,مركز بصري,Dubai Driving Centre,Jumeira Street,Madinat Dubai AL Melaheyah,,,971-50-8677767,,,1/24/2021,FAC_ACT,101,25.24801446,55.27575337,kasala_2010@hotmail.com,Madinat Dubai AL Melaheyah,Madinat Dubai AL Melaheyah
146,Medcare Eye Centre Br Of Medcare Hospital LLC,مركز ميدكير للعيون فرع من مستشفى ميدكير ش ذ م م,Ophthalmology,أمراض العيون,Day Surgery Center,مركز جراحة اليوم,Matlob,22a Street 17–25,Al Safa - 1,,,971-055-4007055,,,6/9/2020,FAC_ACT_AEX,116,25.17870564,55.24685318,sinanm@medcarehospital.com,Al Safa - 1,Al Safa - 1
155,Villanova Cosmetic And Surgical Center,مركز فيلانوفا للجراحة والتجميل,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Jumeirah Terrace Bldg,1st Street 3,Jumeira - 1,,,971-50-1789377,,,3/5/2021,FAC_ACT,106,25.23920264,55.27056163,mbhduc@gmail.com,Jumeira - 1,Jumeira - 1
158,Icare Oasis Branch Of Excel Healthcare,أي كير الواحة فرع من إكسل هيلث كير ذ.م.م,Internal Medicine,الطب الباطني,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Oasis Centre,Sheikh Zayed Road 469,Al Qoze - 1,,,971-50-1003766,,,1/10/2021,FAC_ACT,117,25.16960035,55.24170931,,Al Qoze - 1,Al Qoze - 1
160,Get On Track,جيت اون تراك,Physiotherapy,علاج طبيعي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Villa,Al Wasl Road 160’,Um Suqaim - 3,,www.gotdubai.com,971 4 3805569,,,3/7/2021,FAC_ACT,127,25.170577,55.150404,info@gotdubai.com,Um Suqaim - 3,Um Suqaim - 3
163,Dental Club Clinic Owned By Hessa Abdulla One Person Company LLC,عيادة دنتل كليب كلينك لمالكها حصة عبد الله شركة الشخص الواحد ش.ذ.م.م,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),"Aswaaq, Al Mizhar",Al Mizhar First,Al Mezhar - 1,,,971-55-5080908,,,3/7/2021,FAC_ACT,88,25.25053227,55.45416087,info@dentalclubclinic.com,Al Mezhar - 1,Al Mezhar - 1
170,Park Dental Center,مركز بارك لطب الأسنان,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Murdoof Building,Shk. Zayed Roda,Al Safa - 1,,www.parkdentalcenter.ae,971-055-2222111,,,4/2/2021,FAC_ACT,116,25.170577,55.150404,hosam007@hotmail.com,Al Safa - 1,Al Safa - 1
171,Borna Medical Spa Laser Center LLC , بُرنا ميديكال سبا ليزر سنتر ش ذ م م ,Plastic Surgery,الجراحة التجميلية,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Jumeirah Terrace,2nd December Street 14,Jumeira - 1,,,971-50-2550383,,,4/4/2021,FAC_ACT,106,25.23936232,55.27085417,laserspa@eim.ae,Jumeira - 1,Jumeira - 1
173,Bettercare  Medical Center L L C Branch,مركز بيتر كير الطبية ش ذ م م  فرع,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Riviera Dreams,Central Business District 20,Warsan - 1,,,971-055-3480267,,,5/19/2020,FAC_ACT_AEX,158,25.170577,55.150404,dubaishanghaiclinic@gmail.com,Warsan - 1,Warsan - 1
178,Houston Clinic,عيادة هوستن,General Practice,طب عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Elite Busnes Center,Al Seedaf Road 1,Al Barshaa - 1,,,971-54-4845454,,,2/25/2021,FAC_ACT,132,25.1165384,55.20612357,houstonclinicdubai@gmail.com,Al Barshaa - 1,Al Barshaa - 1
181,Armada Medical Centre,مركز أرمادا الطبي,Obstetrics and Gynecology,أمراض النساء والولادة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Armada Tower 2,gg,Jumeira Lakes Towers,,,971-55-1957766,,,4/28/2021,FAC_ACT,140,25.07466287,55.14472319,,Jumeira Lakes Towers,Jumeira Lakes Towers
183,Dr Humeira Badsha Medical Center,مركز دكتوره حميرا بادشا الطبي,Rheumatology,الروماتيزم,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Habtoor Business Tower,Marsa Dubai,,,,971-50-6409533,,,7/11/2020,FAC_ACT,,90,90,doctorbadsha@gmail.com,,
184,Smile Spa Dental Clinic,عيادة سمايل سبا لطب الاسنان,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Corner City,Al Rebat Street,Nad Al Hamar,,,971-50-8772721,,,5/20/2020,FAC_ACT_AEX,143,25.2177092,55.37498159,smilespa@emirates.net.ae,Nad Al Hamar,Nad Al Hamar
186,Aestheticon JLT,اسثيثيكؤن جي ال ثى,Plastic Surgery,الجراحة التجميلية,Specialty Clinic,عيادة تخصصية ,Swiss Tower,Al Sarayat Street,Al Thanayah 5,,,971-55-4803708,,,5/16/2021,FAC_ACT,228,25.07780766,55.15293172,,Al Thanayah 5,Al Thanayah 5
189,American Center For Psychiatry And Neurology,المركز الأمريكي النفسي والعصبي,Psychiatry,طب الأمراض النفسية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Sunset Mall,Jumeira Street 500,Jumeira - 3,,,971-52-6028641,,,8/11/2020,FAC_ACT,115,25.18316562,55.22579989,hr2@americancenteruae.com,Jumeira - 3,Jumeira - 3
191,Boston Diabetes And Endocrine Center,مركز بوسطن للسكري و الغدد الصماء,"Internal Medicine (Endocrinology, Diabetes And Metabolism)",الطب الباطني (الغدد الصماء والسكري والأيض),PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),"Villa 1,JF2 Villas",5B ,,,www.bdec.ae,971-50-6255584,,,5/27/2020,FAC_ACT_AEX,,90,90,bdec@eim.ae,,
197,Medcare Orthopaedics And Spine Hospital,ميدكير لجراحة العظام و العمود الفقري,Orthopedic Surgery,جراحة العظام,General Hospital (<50),مستشفى (أقل من 50 سرير),"Sheikh Ahmad Bin Saeed Building, Al Safa First Dubai UAE",Sheikh Zayed Road,Al Safa - 1,,www.medcare.ae,971-55-4007055,,,10/25/2020,FAC_ACT,116,25.17885711,55.24734365,info@medcarehospital.com,Al Safa - 1,Al Safa - 1
204,Euro Arabian Medical Center L Lc,المركز الأوروبي العربي الطبي ش ذ م م,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),-,Al Wasl Road 0–300,Jumeira - 2,,www.eah.com,971-056-1555148,,,6/13/2020,FAC_ACT_AEX,111,25.19647622,55.24641354,dr.masmi@hotmail.com,Jumeira - 2,Jumeira - 2
205,Marina Dental Center Br,مارينا دنتال سنتر فرع,,,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Block 18,alfalak st,Al Sufouh - 1,,www.oralimplantologist.com,971-50-4568100,,,6/13/2021,FAC_ACT,131,25.10265826,55.16322792,souheilh@emirates.net.ae,Al Sufouh - 1,Al Sufouh - 1
208,Super Care Pharmacy Marsa,صيدلية سوبركير مرسى,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Silveren,Dubai Marina,Dubai Marina and Jumeira Beach,,,971-50-1035227,,,6/9/2020,FAC_ACT_AEX,139,25.07588683,55.13819564,scmar@gmggroup.ae,Dubai Marina and Jumeira Beach,Dubai Marina and Jumeira Beach
209,Alneem Pharmacy,صيدلية النيم,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,"Riviera Dreams,",international city,Warsan - 1,,,971-55-9878099,,,6/9/2020,FAC_ACT_AEX,158,25.16801686,55.40615341,alneempharmacy@gmail.com,Warsan - 1,Warsan - 1
210,Eycare Optics International Llc Branch,العناية بالعين العالمية للنظارات ش.ذ.م.م فرع,Optometry,بصريات,Optical Center,مركز بصري,Jebal Ali Shopping Centre-Ramla Supermarket,Dubai Investment Park,Dubai Investments Park 1,,,971-050-4213737,,,6/12/2020,FAC_ACT_AEX,151,25.170577,55.150404,eyecaredip@gmail.com,Dubai Investments Park 1,Dubai Investments Park 1
212,La Perla Dental Clinic JLT,عياده اللؤلؤه للاسنان,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Jbc2 Tower Cluster V 904/905,Jumeirah Lake Towers Jlt Dubai,Jumeira Lakes Towers,,www.laperladental.com,971-55-4489263,,,6/13/2020,FAC_ACT_AEX,140,25.170577,55.150404,info@laperladental.com,Jumeira Lakes Towers,Jumeira Lakes Towers
213,Sehaty Polyclinic,مجمع صحتى الطبى,Pediatric Gastroenterology,طب الأطفال أمراض الجهاز الهضمي,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Albarjeel Oasis Complex,"47 Street,Mirdiff",,,,971-50-6123323,,,6/13/2020,FAC_ACT_AEX,,90,90,sehati@eim.ae,,
221,Adam Vital,آدم فيتال,Physiotherapy,علاج طبيعي,Rehabilitation Center (1 spec),مركز إعادة تأهيل (تخصص واحد),Index Building,Nad Al Hamar Road,Dubai Festival City,,www.adamvital.ae,056-246-3070,,,6/24/2020,FAC_ACT_AEX,142,25.20171917,55.37497803,hr@adamvital.ae,Dubai Festival City,Dubai Festival City
222,Alpha Optical Llc Branch,الفا للبصريات ش ذ.م.م فرع,Optometry,بصريات,Optical Center,مركز بصري,Festival Power Centre,Festival Boulevard,Unnamed,,www.alpha-optical.com,971-050-5595564,,,6/4/2020,FAC_ACT_AEX,168,25.22268742,55.35554217,alphaho@alpha-optical.net,Unnamed,Unnamed
225,Aga Khan Early Learning Centre,مركز الاغاخان للتعليم المبكر,Nursing,التمريض,School clinic,عيادة مدرسة,Ismaili Centre,Street 11A,Oudh Metha,,www.akelcdubai.org,971-55-4149707,,,6/26/2020,FAC_ACT_AEX,43,25.170577,55.150404,kelli.allen@akelcdubai.org,Oudh Metha,Oudh Metha
226,Icare Garden Branch Of Excel Healthcare,أى كير جاردن فرع من أكسل هيلث كير,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Zen2 Building- Same Road Of Dr. Ismail Clinic,Jebel Ali Garden,,,,971-52-4405140,,,1/24/2021,FAC_ACT,,90,90,,,
228,Dr Sai Ganesh Medical Centre,مركز الدكتور ساي جانيش الطبي,General Dentistry,طب أسنان عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Sapphire Tower,13a Street 9,Port Saeed,,,971-50-5530575,,,7/7/2020,FAC_ACT,32,25.26088167,55.33208274,ganeshapillai@yahoo.com,Port Saeed,Port Saeed
229,Unicare Medical Centre Branch,مركز العناية الطبي فرع,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Villa,8c Street 51,Al Hudaiba,,www.unicaredubai.com,971-508-569571,,,8/5/2020,FAC_ACT,102,25.23927996,55.27983392,deepu@unicaredubai.com,Al Hudaiba,Al Hudaiba
231,Jts Medical Centre LLC,مركز جي تي اس الطبي ش.ذ.م,Clinical Pathology,طب علم الأمراض السريرية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Jumeira Terrace,Jumeira Street,,,www.jtsmedicalcentre.com,971-50-2555544,,,7/9/2020,FAC_ACT,,90,90,m.pereira@jtsmedicalcentre.com,,
233,Specialized Medical And Dental Center,المركز الطبي المتخصص والأسنان,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Shiekh Hamdan Awards Complex,Diyafah Road Corner Jumeirah Road,Jumeira - 1,,,971-56-3838401,,,3/22/2021,FAC_ACT,106,25.170577,55.150404,info.smdc.dxb@gmail.com,Jumeira - 1,Jumeira - 1
236,Sultan Alolama Medical Center Branch,مركز سلطان العلماء الطبي فرع,Otolaryngology,أنف أذن حنجرة,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Etihad Mall,al khawaneej,Muhaisanah - 1,,,971-50-4404155,,,7/12/2020,FAC_ACT,83,25.23671092,55.42170821,sarasheer@samc.ae,Muhaisanah - 1,Muhaisanah - 1
250,Jumeira Better Life,صيدليّة جميرا بيتر لايف,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Amsa,Kaheel Boulevard,Barsha Suoth - 4,,www.karamamedicalcentre.com,971-50-5440718,,,7/29/2020,FAC_ACT,22,25.06624157,55.21001109,jerrysingh77@hotmail.com,Barsha Suoth - 4,Barsha Suoth - 4
258,Dr Mohamed Rafi Dental Clinic,عيادة دكتور محمد رافي لطب الأسنان,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Al Satwa Building,2nd December Street 53,Al Satwa,,,971-050-3860484,,,8/6/2020,FAC_ACT,13,25.23554782,55.27824874,,Al Satwa,Al Satwa
261,Border Pharmacy,صيدلية بوردر,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,"Le Solarem Bldg, Tek Holder Corporation",oasis ,Nad Al Sheba,,,971-050-6875736,,,11/14/2020,FAC_ACT,153,25.12255451,55.39815556,borderhealthcare@gmail.com,Nad Al Sheba,Nad Al Sheba
262,Bourn Hall Clinic,عيادة بورن هول للاخصاب,Reproductive Medicine and Infertility,طب الأمراض التناسلية والعقم,Fertility Center,مركز للإخصاب,Skh Hamda Award Bulding Block C.,Jumeirah 1,Jumeira - 1,,www.bournhall-clinic.ae,9.72E+11,,,8/18/2020,FAC_ACT,106,25.170577,55.150404,prem.navas@bournhall-clinic.com,Jumeira - 1,Jumeira - 1
269,Premier Pharmacy,صيدلية بريميار,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Kharbash Building,Jumeirah Street 637–647,Um Suqaim - 1,,www.life-me.com,971-50-4541801,,,11/28/2020,FAC_ACT,119,25.16266649,55.21027447,premier@realphy.com,Um Suqaim - 1,Um Suqaim - 1
271,Cocoona Day Surgical Center,مركز كوكونا الجراحات اليوم الواحد,Plastic Surgery,الجراحة التجميلية,Day Surgery Center,مركز جراحة اليوم,Umm Suqqeim 1 Villa 896,Al Wasl Road 896,Um Suqaim - 1,,www.cocoona.ae,800362636,,,9/15/2020,FAC_ACT,119,25.16541372,55.22392286,admin@cocoona.ae,Um Suqaim - 1,Um Suqaim - 1
273,Star Mirdif Pharmacy,صيدلية ستار مردف,Pharmacy,الصيدلة,Community (Out Patient ) Pharmacy,صيدلية,Aswaaq Mall,71 Street 42,Mirdif,,,009-71-50659000,,,10/4/2020,FAC_ACT,86,25.22877139,55.43224418,asharaft74@gmail.com,Mirdif,Mirdif
279,Montreal International Clinics,عيادات مونتريال إنترناشيونال,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),345,Jumeirah Beach Road 349a,Jumeira - 2,,,971-504-235996,,,9/29/2020,FAC_ACT,111,25.20012619,55.23958868,a_shatlaz@hotmail.com,Jumeira - 2,Jumeira - 2
281,The Royal Doctors Polyclinic LLC,ذا رويال دكتورز بولي كلينك ش م م,,,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),The Royal Doctors Polyclinic,Jumeirah 2,Jumeira - 2,,,971-50-2436900,,,6/7/2020,FAC_ACT_AEX,111,25.170577,55.150404,,Jumeira - 2,Jumeira - 2
294,Private Care Center,مركز العناية الخاصة,Nursing,التمريض,Home Healthcare Agency,وكالة الرعاية الصحية المنزلية,France Cluster R03.,Warsan,Unnamed,,,971-50-6552204,,,10/6/2020,FAC_ACT,168,25.16227045,55.39970814,homenursing@hotmail.com,Unnamed,Unnamed
295,Noor Al Shefa Clinic Branch,عيادة نور الشيفا فرع,General Practice,طب عام,PolyClinic (2spec),عيادة متعددة الاختصاصات (تخصصان),Union Coop Building,rad algorithm 3,Ras Al Kor Industrial - 3,,,971-050-2099430,,,8/9/2020,FAC_ACT,157,25.1753628,55.38678291,nascunion@gmail.com,Ras Al Kor Industrial - 3,Ras Al Kor Industrial - 3
302,Dm Healthcare Llc Dmcc Branch,د م للرعاية الصحية ش د م م فرع م د م س,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Red Diamond Building,Al Sarayat Street,Jumeira Lakes Towers,,,971-55-7009111,,,10/20/2020,FAC_ACT,140,25.07749393,55.15507728,pr@asterdmhealthcare.com,Jumeira Lakes Towers,Jumeira Lakes Towers
317,The Childrens Garden Kindergarten Br Of Taaleem M,روضة ذا شلدرنز جارين فرع من تعليم للإدارة,,,School clinic,عيادة مدرسة,The Childrens Gardenkindergarten,Area - Al Barsha Second,Al Barshaa - 2,,,971-50-3732175,,,11/5/2019,FAC_EXP,134,25.170577,55.150404,,Al Barshaa - 2,Al Barshaa - 2
318,Alpha Optical LLC,الفا للبصريات ش ذ م م,Optometry,بصريات,Optical Center,مركز بصري,The Dubai Mall,طريق المركز المالي,Unnamed,,www.alpha-optical.com,971-50-5595564,,,11/5/2020,FAC_ACT,168,25.19802274,55.28023379,alphaho@alpha-optical.com,Unnamed,Unnamed
320,Al Massa Polyclinic LLC,عيادة الماسة الطبية ش د م م,General Dentistry,طب أسنان عام,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Abdulla Ali Mohammed Abdulla Alsayegh,Al Wasl Road 1080,Um Suqaim - 2,,,971-50-2748748,,,11/5/2020,FAC_ACT,123,25.15256229,55.21407777,,Um Suqaim - 2,Um Suqaim - 2
321,Advanced Specialist Medical Center,مركز ادفانز التخصصي الطبي,Dermatology,جلدية,PolyClinic (3 specs or more),عيادة متعددة الاختصاصات (3 تخصاصات وأكثر),Arabian Center,Al Khawaneej Road,Al Mezhar - 1,,,971-050-7557755,,,11/7/2020,FAC_ACT,88,25.23351589,55.43700091,dr_f.rahman@hotmail.com,Al Mezhar - 1,Al Mezhar - 1
